50,1.475,6.9319,1.5055,3.0001,1.5286,16.587
51,1.4633,6.8233,1.4817,2.9626,1.5096,16.363
52,1.451,6.7194,1.4592,2.9297,1.4931,16.147
53,1.438,6.6195,1.4378,2.899,1.4777,15.936
54,1.4244,6.5231,1.4171,2.8696,1.4627,15.731
55,1.4101,6.4298,1.3971,2.8405,1.448,15.53
56,1.3952,6.3392,1.3777,2.8115,1.4331,15.333
57,1.3797,6.2509,1.3588,2.7822,1.4181,15.14
58,1.3635,6.1647,1.3403,2.7522,1.4027,14.949
59,1.3467,6.0801,1.3221,2.7215,1.387,14.761
60,1.3293,5.997,1.3041,2.6899,1.3707,14.576
61,1.3174,5.9162,1.2869,2.6596,1.3553,14.394
62,1.305,5.838,1.2704,2.6315,1.3412,14.216
63,1.2921,5.762,1.2543,2.6043,1.3274,14.042
64,1.2787,5.688,1.2386,2.5774,1.3137,13.871
65,1.2648,5.6155,1.2233,2.5505,1.3,13.704
66,1.2504,5.5444,1.2081,2.5232,1.286,13.538
67,1.2355,5.4745,1.1932,2.4955,1.2718,13.375
68,1.22,5.4054,1.1784,2.467,1.2572,13.214
69,1.204,5.3372,1.1637,2.4378,1.2422,13.054
70,1.1876,5.2694,1.149,2.4078,1.2268,12.895
71,1.1706,5.2021,1.1343,2.377,1.211,12.737
72,1.153,5.135,1.1196,2.3452,1.1947,12.58
73,1.135,5.0679,1.1048,2.3125,1.1779,12.423
74,1.1165,5.0009,1.09,2.2789,1.1607,12.266
75,1.0974,4.9336,1.075,2.2442,1.1429,12.109
76,1.0779,4.866,1.0599,2.2086,1.1247,11.952
77,1.0578,4.7981,1.0446,2.1721,1.1059,11.794
78,1.0372,4.7297,1.0292,2.1345,1.0867,11.636
79,1.0161,4.6606,1.0135,2.0959,1.0669,11.477
80,0.99447,4.5909,0.99759,2.0564,1.0466,11.316
81,0.97234,4.5204,0.98145,2.0158,1.0259,11.154
82,0.97009,4.4527,0.96685,1.9818,1.0091,10.997
83,0.96766,4.3897,0.9537,1.9576,0.99744,10.847
84,0.96506,4.3305,0.9416,1.939,0.98849,10.705
85,0.96229,4.2749,0.93037,1.9241,0.98124,10.568
